$outgn
 [1] "GEN9"    "GEN116"  "GEN189"  "GEN238"  "GEN294"  "GEN327"  "GEN328" 
 [8] "GEN372"  "GEN385"  "GEN389"  "GEN461"  "GEN632"  "GEN645"  "GEN697" 
[15] "GEN732"  "GEN751"  "GEN767"  "GEN804"  "GEN893"  "GEN915"  "GEN929" 
[22] "GEN995"  "GEN1067" "GEN1078" "GEN1207" "GEN1237" "GEN1242"

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_dadantii..NCPPB898Dd"     "GEN72"  
 "Dickeya_zeae..ZJU1202Dz"          "GEN72"  
 "Dickeya_zeae..MS1Dz"              "GEN73"  
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN73"  
 "Dickeya_zeae..DZ2QDz"             "GEN73"  
 "Dickeya_chrysanthem..M074Dc"      "GEN75"  
 "Dickeya_solani..M005Ds"           "GEN75"  
 "Dickeya_zeae..DZ2QDz"             "GEN76"  
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN77"  
 "Dickeya_chrysanthem..L11Dc"       "GEN77"  
 "Dickeya_sp..B16Ds"                "GEN77"  
 "Dickeya_sp..MK7Ds"                "GEN77"  
 "Dickeya_chrysanthem..M074Dc"      "GEN78"  
 "Dickeya_zeae..CSLRW192Dz"         "GEN78"  
 "Dickeya_solani..M005Ds"           "GEN78"  
 "Dickeya_zeae..NCPPB3531Dz"        "GEN78"  
 "Dickeya_solani..GBBC2040Ds"       "GEN80"  
 "Dickeya_solani..IFB0099Ds"        "GEN80"  
 "Dickeya_chrysanthem..M074Dc"      "GEN80"  
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN86"  
 "Dickeya_zeae..CSLRW192Dz"         "GEN86"  
 "Dickeya_zeae..Ech586Dz"           "GEN86"  
 "Dickeya_zeae..MK19Dz"             "GEN88"  
 "Dickeya_solani..RNS08082331ADs"   "GEN89"  
 "Dickeya_solani..RNS050512ADs"     "GEN89"  
 "Dickeya_aquatica..localstrainDa"  "GEN90"  
 "Dickeya_dadantii..NCPPB898Dd"     "GEN91"  
 "Dickeya_sp..NCPPB569Ds"           "GEN92"  
 "Dickeya_dadantii..NCPPB898Dd"     "GEN93"  
 "Dickeya_zeae..NCPPB3532Dz"        "GEN93"  
 "Dickeya_sp..NCPPB569Ds"           "GEN93"  
 "Dickeya_dadantii..NCPPB898Dd"     "GEN94"  
 "Cedecea_neteri..ND14bCn"          "GEN95"  
 "Dickeya_dianthicola..NCPPB453Dd"  "GEN95"  
 "Dickeya_solani..M005Ds"           "GEN95"  
 "Serratia_sp..ATCC39006Ss"         "GEN96"  
 "Dickeya_zeae..EC1Dz"              "GEN97"  
 "Dickeya_sp..CSLRW240Ds"           "GEN97"  
 "Dickeya_solani..IFB0099Ds"        "GEN98"  
 "Cedecea_neteri..ND14bCn"          "GEN99"  
 "Dickeya_solani..RNS050512ADs"     "GEN99"  
 "Dickeya_zeae..MS1Dz"              "GEN99"  
 "Dickeya_solani..M005Ds"           "GEN99"  
 "Dickeya_zeae..MK19Dz"             "GEN100" 
 "Dickeya_zeae..Ech586Dz"           "GEN100" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN101" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN101" 
 "Dickeya_zeae..Ech586Dz"           "GEN101" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN101" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN103" 
 "Dickeya_sp..2B12Ds"               "GEN103" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN104" 
 "Cedecea_neteri..ND14bCn"          "GEN105" 
 "Dickeya_solani..M005Ds"           "GEN105" 
 "Dickeya_solani..RNS08082331ADs"   "GEN106" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN107" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN107" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN108" 
 "Dickeya_solani..RNS070773BDs"     "GEN108" 
 "Dickeya_solani..RNS050512ADs"     "GEN108" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN108" 
 "Dickeya_sp..B16Ds"                "GEN108" 
 "Dickeya_zeae..MS1Dz"              "GEN109" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN110" 
 "Dickeya_dadantii..3937Dd"         "GEN110" 
 "Dickeya_solani..RNS070773BDs"     "GEN111" 
 "Dickeya_sp..CSLRW240Ds"           "GEN111" 
 "Dickeya_sp..B16Ds"                "GEN111" 
 "Dickeya_solani..IFB0099Ds"        "GEN112" 
 "Dickeya_sp..B16Ds"                "GEN112" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN113" 
 "Dickeya_zeae..DZ2QDz"             "GEN113" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN114" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN117" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN119" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN119" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN121" 
 "Dickeya_zeae..DZ2QDz"             "GEN121" 
 "Dickeya_chrysanthem..L11Dc"       "GEN121" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN121" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN122" 
 "Dickeya_dianthicola..NCPPB453Dd"  "GEN122" 
 "Dickeya_sp..2B12Ds"               "GEN122" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN123" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN123" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN123" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN124" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN125" 
 "Dickeya_solani..RNS050512ADs"     "GEN125" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN126" 
 "Dickeya_zeae..MS1Dz"              "GEN127" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN129" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN130" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN131" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN132" 
 "Dickeya_chrysanthem..L11Dc"       "GEN132" 
 "Dickeya_sp..S1Ds"                 "GEN133" 
 "Dickeya_zeae..DZ2QDz"             "GEN134" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN135" 
 "Dickeya_solani..M005Ds"           "GEN136" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN137" 
 "Dickeya_zeae..MK19Dz"             "GEN137" 
 "Dickeya_chrysanthem..L11Dc"       "GEN138" 
 "Dickeya_paradisiaca..Ech703Dp"    "GEN140" 
 "Dickeya_sp..NCPPB569Ds"           "GEN140" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN141" 
 "Dickeya_zeae..Ech586Dz"           "GEN141" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN142" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN143" 
 "Dickeya_sp..S1Ds"                 "GEN143" 
 "Dickeya_solani..PPO9134Ds"        "GEN144" 
 "Dickeya_dadantii..3937Dd"         "GEN145" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN145" 
 "Dickeya_solani..RNS050512ADs"     "GEN145" 
 "Dickeya_zeae..MK19Dz"             "GEN146" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN147" 
 "Cedecea_neteri..ND14bCn"          "GEN147" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN148" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN148" 
 "Dickeya_dadantii..3937Dd"         "GEN151" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN151" 
 "Dickeya_solani..RNS070773BDs"     "GEN152" 
 "Dickeya_sp..CSLRW240Ds"           "GEN152" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN153" 
 "Dickeya_zeae..Ech586Dz"           "GEN154" 
 "Dickeya_dadantii..3937Dd"         "GEN155" 
 "Dickeya_solani..M005Ds"           "GEN155" 
 "Dickeya_solani..RNS050512ADs"     "GEN158" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN158" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN158" 
 "Dickeya_solani..MK16Ds"           "GEN160" 
 "Dickeya_solani..IFB0099Ds"        "GEN160" 
 "Dickeya_zeae..MK19Dz"             "GEN161" 
 "Dickeya_solani..M005Ds"           "GEN161" 
 "Dickeya_sp..B16Ds"                "GEN162" 
 "Dickeya_solani..RNS050512ADs"     "GEN164" 
 "Dickeya_zeae..MS1Dz"              "GEN164" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN164" 
 "Dickeya_solani..M005Ds"           "GEN164" 
 "Dickeya_solani..M005Ds"           "GEN165" 
 "Dickeya_dadantii..3937Dd"         "GEN166" 
 "Dickeya_zeae..MS1Dz"              "GEN166" 
 "Dickeya_aquatica..localstrainDa"  "GEN166" 
 "Dickeya_sp..CSLRW240Ds"           "GEN166" 
 "Dickeya_sp..S1Ds"                 "GEN166" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN167" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN169" 
 "Dickeya_solani..M005Ds"           "GEN169" 
 "Dickeya_zeae..DZ2QDz"             "GEN170" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN170" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN170" 
 "Dickeya_sp..NCPPB569Ds"           "GEN171" 
 "Dickeya_paradisiaca..Ech703Dp"    "GEN172" 
 "Serratia_sp..ATCC39006Ss"         "GEN172" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN173" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN175" 
 "Dickeya_solani..RNS050512ADs"     "GEN175" 
