$outgn
 [1] "GEN9"    "GEN116"  "GEN189"  "GEN238"  "GEN294"  "GEN327"  "GEN328" 
 [8] "GEN372"  "GEN385"  "GEN389"  "GEN461"  "GEN632"  "GEN645"  "GEN697" 
[15] "GEN732"  "GEN751"  "GEN767"  "GEN804"  "GEN893"  "GEN915"  "GEN929" 
[22] "GEN995"  "GEN1067" "GEN1078" "GEN1207" "GEN1237" "GEN1242"

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_solani..RNS070773BDs"     "GEN290" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN291" 
 "Dickeya_zeae..DZ2QDz"             "GEN291" 
 "Dickeya_zeae..EC1Dz"              "GEN292" 
 "Dickeya_sp..B16Ds"                "GEN293" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN296" 
 "Dickeya_zeae..DZ2QDz"             "GEN296" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN296" 
 "Cedecea_neteri..ND14bCn"          "GEN297" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN298" 
 "Dickeya_solani..RNS050512ADs"     "GEN298" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN298" 
 "Dickeya_zeae..Ech586Dz"           "GEN298" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN298" 
 "Dickeya_zeae..MK19Dz"             "GEN299" 
 "Dickeya_aquatica..DW0440Da"       "GEN300" 
 "Dickeya_zeae..Ech586Dz"           "GEN300" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN301" 
 "Dickeya_dadantii..3937Dd"         "GEN302" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN302" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN302" 
 "Dickeya_solani..RNS070773BDs"     "GEN303" 
 "Dickeya_solani..RNS050512ADs"     "GEN303" 
 "Dickeya_zeae..DZ2QDz"             "GEN304" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN305" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN306" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN306" 
 "Dickeya_dadantii..3937Dd"         "GEN307" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN307" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN307" 
 "Serratia_sp..ATCC39006Ss"         "GEN307" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN308" 
 "Dickeya_solani..PPO9019Ds"        "GEN309" 
 "Dickeya_zeae..MK19Dz"             "GEN309" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN310" 
 "Dickeya_zeae..Ech586Dz"           "GEN312" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN313" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN313" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN313" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN314" 
 "Dickeya_chrysanthem..L11Dc"       "GEN314" 
 "Dickeya_aquatica..localstrainDa"  "GEN315" 
 "Dickeya_solani..GBBC2040Ds"       "GEN316" 
 "Dickeya_solani..RNS08082331ADs"   "GEN317" 
 "Dickeya_solani..MK10Ds"           "GEN317" 
 "Dickeya_solani..RNS070773BDs"     "GEN317" 
 "Dickeya_zeae..Ech586Dz"           "GEN319" 
 "Dickeya_solani..MK16Ds"           "GEN320" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN320" 
 "Dickeya_solani..IFB0099Ds"        "GEN320" 
 "Dickeya_sp..CSLRW240Ds"           "GEN320" 
 "Dickeya_sp..B16Ds"                "GEN320" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN321" 
 "Dickeya_sp..2B12Ds"               "GEN321" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN322" 
 "Serratia_sp..ATCC39006Ss"         "GEN322" 
 "Dickeya_zeae..DZ2QDz"             "GEN323" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN323" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN325" 
 "Cedecea_neteri..ND14bCn"          "GEN330" 
 "Dickeya_solani..RNS070773BDs"     "GEN330" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN330" 
 "Dickeya_sp..CSLRW240Ds"           "GEN330" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN332" 
 "Dickeya_solani..IPO2222Ds"        "GEN333" 
 "Dickeya_solani..M005Ds"           "GEN333" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN334" 
 "Dickeya_solani..M005Ds"           "GEN334" 
 "Dickeya_dadantii..3937Dd"         "GEN335" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN335" 
 "Dickeya_solani..RNS050512ADs"     "GEN335" 
 "Dickeya_zeae..MS1Dz"              "GEN335" 
 "Dickeya_solani..M005Ds"           "GEN336" 
 "Dickeya_chrysanthem..M074Dc"      "GEN338" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN338" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN338" 
 "Dickeya_dadantii..3937Dd"         "GEN340" 
 "Dickeya_dianthicola..RNS049Dd"    "GEN341" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN341" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN341" 
 "Cedecea_neteri..ND14bCn"          "GEN343" 
 "Dickeya_solani..M005Ds"           "GEN343" 
 "Dickeya_solani..M005Ds"           "GEN344" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN346" 
 "Dickeya_solani..PPO9134Ds"        "GEN346" 
 "Dickeya_zeae..MS1Dz"              "GEN346" 
 "Dickeya_dadantii..3937Dd"         "GEN347" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN347" 
 "Dickeya_solani..RNS050512ADs"     "GEN347" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN347" 
 "Dickeya_zeae..MS1Dz"              "GEN347" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN347" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN348" 
 "Dickeya_dadantii..3937Dd"         "GEN350" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN350" 
 "Dickeya_aquatica..DW0440Da"       "GEN352" 
 "Dickeya_sp..2B12Ds"               "GEN352" 
 "Dickeya_zeae..MK19Dz"             "GEN353" 
 "Dickeya_solani..M005Ds"           "GEN354" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN355" 
 "Dickeya_solani..GBBC2040Ds"       "GEN356" 
 "Dickeya_solani..IFB0099Ds"        "GEN356" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN356" 
 "Dickeya_sp..B16Ds"                "GEN357" 
 "Dickeya_zeae..DZ2QDz"             "GEN358" 
 "Dickeya_solani..RNS050512ADs"     "GEN359" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN359" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN360" 
 "Dickeya_sp..2B12Ds"               "GEN360" 
 "Dickeya_chrysanthem..M074Dc"      "GEN360" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN361" 
 "Dickeya_solani..RNS050512ADs"     "GEN361" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN361" 
 "Dickeya_sp..B16Ds"                "GEN362" 
 "Dickeya_zeae..MK19Dz"             "GEN364" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN365" 
 "Dickeya_solani..RNS050512ADs"     "GEN368" 
 "Dickeya_zeae..MK19Dz"             "GEN368" 
 "Dickeya_zeae..MK19Dz"             "GEN369" 
 "Dickeya_chrysanthem..M074Dc"      "GEN369" 
 "Dickeya_aquatica..DW0440Da"       "GEN373" 
 "Dickeya_chrysanthem..M074Dc"      "GEN373" 
 "Dickeya_zeae..MS1Dz"              "GEN374" 
 "Dickeya_solani..RNS070773BDs"     "GEN375" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN376" 
 "Dickeya_sp..S1Ds"                 "GEN376" 
 "Dickeya_zeae..DZ2QDz"             "GEN377" 
 "Dickeya_zeae..Ech586Dz"           "GEN380" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN381" 
 "Dickeya_dadantii..3937Dd"         "GEN381" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN381" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN382" 
 "Dickeya_zeae..Ech586Dz"           "GEN382" 
 "Dickeya_solani..IPO2222Ds"        "GEN383" 
 "Dickeya_sp..CSLRW240Ds"           "GEN383" 
 "Dickeya_zeae..EC1Dz"              "GEN383" 
 "Dickeya_sp..B16Ds"                "GEN383" 
 "Serratia_sp..ATCC39006Ss"         "GEN383" 
 "Dickeya_chrysanthem..M074Dc"      "GEN384" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN384" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN384" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN386" 
 "Dickeya_solani..M005Ds"           "GEN386" 
 "Dickeya_solani..MK16Ds"           "GEN388" 
 "Dickeya_solani..IPO2222Ds"        "GEN388" 
 "Dickeya_sp..B16Ds"                "GEN388" 
 "Dickeya_dadantii..3937Dd"         "GEN392" 
 "Dickeya_solani..RNS050512ADs"     "GEN392" 
 "Dickeya_zeae..MS1Dz"              "GEN392" 
 "Dickeya_solani..RNS070773BDs"     "GEN395" 
 "Dickeya_zeae..Ech586Dz"           "GEN395" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN396" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN397" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN397" 
 "Dickeya_solani..RNS070773BDs"     "GEN398" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN400" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN401" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN401" 
 "Dickeya_solani..RNS070773BDs"     "GEN402" 
 "Dickeya_solani..PPO9019Ds"        "GEN402" 
 "Dickeya_sp..CSLRW240Ds"           "GEN403" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN403" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN404" 
 "Dickeya_zeae..Ech586Dz"           "GEN405" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN406" 
 "Dickeya_zeae..Ech586Dz"           "GEN406" 
 "Dickeya_aquatica..localstrainDa"  "GEN409" 
 "Cedecea_neteri..ND14bCn"          "GEN409" 
 "Cedecea_neteri..ND14bCn"          "GEN410" 
 "Dickeya_sp..NCPPB569Ds"           "GEN410" 
 "Dickeya_solani..M005Ds"           "GEN410" 
 "Dickeya_solani..RNS08082331ADs"   "GEN411" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN411" 
 "Dickeya_aquatica..localstrainDa"  "GEN412" 
 "Dickeya_zeae..MS1Dz"              "GEN413" 
 "Dickeya_dadantii..3937Dd"         "GEN415" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN415" 
 "Dickeya_solani..RNS050512ADs"     "GEN415" 
 "Dickeya_sp..MK7Ds"                "GEN415" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN416" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN418" 
 "Dickeya_solani..RNS050512ADs"     "GEN418" 
 "Serratia_sp..ATCC39006Ss"         "GEN420" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN422" 
 "Dickeya_zeae..DZ2QDz"             "GEN422" 
 "Cedecea_neteri..ND14bCn"          "GEN423" 
 "Dickeya_solani..IFB0099Ds"        "GEN425" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN427" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN427" 
 "Dickeya_sp..S1Ds"                 "GEN428" 
 "Dickeya_dadantii..3937Dd"         "GEN429" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN429" 
 "Dickeya_solani..RNS050512ADs"     "GEN429" 
 "Dickeya_zeae..MS1Dz"              "GEN429" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN430" 
 "Dickeya_solani..M005Ds"           "GEN430" 
 "Dickeya_zeae..Ech586Dz"           "GEN431" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN432" 
 "Dickeya_zeae..DZ2QDz"             "GEN433" 
 "Dickeya_aquatica..DW0440Da"       "GEN434" 
 "Dickeya_solani..RNS050512ADs"     "GEN437" 
 "Dickeya_zeae..MS1Dz"              "GEN437" 
 "Dickeya_solani..M005Ds"           "GEN437" 
 "Dickeya_dadantii..3937Dd"         "GEN438" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN438" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN439" 
 "Dickeya_zeae..MK19Dz"             "GEN439" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN440" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN440" 
 "Dickeya_chrysanthem..M074Dc"      "GEN440" 
 "Dickeya_dianthicola..NCPPB453Dd"  "GEN441" 
 "Dickeya_solani..RNS070773BDs"     "GEN441" 
 "Dickeya_chrysanthem..M074Dc"      "GEN441" 
 "Dickeya_solani..M005Ds"           "GEN442" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN442" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN443" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN443" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN444" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN444" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN446" 
 "Dickeya_chrysanthem..NCPPB3533Dc" "GEN448" 
 "Dickeya_chrysanthem..L11Dc"       "GEN448" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN450" 
 "Dickeya_sp..S1Ds"                 "GEN450" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN450" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN451" 
 "Dickeya_zeae..MK19Dz"             "GEN452" 
 "Dickeya_sp..S1Ds"                 "GEN452" 
 "Dickeya_solani..RNS050512ADs"     "GEN455" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN455" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN455" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN455" 
 "Dickeya_solani..PPO9019Ds"        "GEN456" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN458" 
 "Dickeya_chrysanthem..L11Dc"       "GEN458" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN459" 
 "Dickeya_solani..RNS050512ADs"     "GEN459" 
 "Dickeya_zeae..MS1Dz"              "GEN459" 
 "Dickeya_aquatica..localstrainDa"  "GEN460" 
 "Dickeya_sp..MK7Ds"                "GEN460" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN463" 
 "Dickeya_solani..PPO9019Ds"        "GEN463" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN463" 
 "Dickeya_solani..RNS050512ADs"     "GEN464" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN464" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN464" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN465" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN466" 
 "Dickeya_solani..MK10Ds"           "GEN467" 
 "Dickeya_solani..PPO9019Ds"        "GEN467" 
 "Dickeya_solani..RNS050512ADs"     "GEN468" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN469" 
 "Dickeya_zeae..EC1Dz"              "GEN469" 
 "Dickeya_sp..S1Ds"                 "GEN469" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN470" 
 "Dickeya_chrysanthem..M074Dc"      "GEN471" 
 "Dickeya_solani..RNS050512ADs"     "GEN471" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN471" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN472" 
 "Dickeya_zeae..DZ2QDz"             "GEN473" 
 "Dickeya_solani..RNS070773BDs"     "GEN476" 
 "Dickeya_solani..PPO9019Ds"        "GEN476" 
 "Dickeya_aquatica..localstrainDa"  "GEN477" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN478" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN478" 
 "Serratia_sp..ATCC39006Ss"         "GEN479" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN480" 
 "Dickeya_solani..IFB0099Ds"        "GEN480" 
 "Dickeya_sp..B16Ds"                "GEN480" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN481" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN482" 
 "Dickeya_zeae..Ech586Dz"           "GEN482" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN482" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN482" 
 "Dickeya_solani..RNS070773BDs"     "GEN483" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN483" 
 "Cedecea_neteri..ND14bCn"          "GEN484" 
 "Dickeya_zeae..DZ2QDz"             "GEN486" 
 "Dickeya_zeae..MS1Dz"              "GEN486" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN487" 
 "Dickeya_solani..RNS050512ADs"     "GEN487" 
 "Dickeya_sp..S1Ds"                 "GEN487" 
 "Dickeya_solani..M005Ds"           "GEN487" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN488" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN488" 
 "Dickeya_solani..MK16Ds"           "GEN490" 
 "Dickeya_solani..MK10Ds"           "GEN490" 
 "Dickeya_solani..PPO9019Ds"        "GEN490" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN491" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN491" 
 "Dickeya_zeae..MS1Dz"              "GEN493" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN494" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN494" 
 "Dickeya_dadantii..3937Dd"         "GEN495" 
 "Dickeya_dadantii..3937Dd"         "GEN496" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN496" 
 "Dickeya_solani..RNS050512ADs"     "GEN496" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN497" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN497" 
 "Dickeya_zeae..MK19Dz"             "GEN499" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN500" 
 "Dickeya_dadantii..3937Dd"         "GEN501" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN501" 
 "Dickeya_zeae..MS1Dz"              "GEN501" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN501" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN504" 
 "Dickeya_solani..GBBC2040Ds"       "GEN505" 
 "Dickeya_solani..RNS08082331ADs"   "GEN506" 
 "Dickeya_zeae..ZJU1202Dz"          "GEN506" 
 "Dickeya_sp..B16Ds"                "GEN506" 
 "Dickeya_solani..PPO9019Ds"        "GEN507" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN509" 
 "Dickeya_zeae..MS1Dz"              "GEN509" 
 "Dickeya_aquatica..DW0440Da"       "GEN509" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN510" 
 "Dickeya_sp..B16Ds"                "GEN510" 
 "Dickeya_solani..GBBC2040Ds"       "GEN511" 
 "Dickeya_solani..IPO2222Ds"        "GEN511" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN512" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN512" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN513" 
 "Dickeya_solani..RNS070773BDs"     "GEN513" 
 "Dickeya_sp..B16Ds"                "GEN513" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN514" 
 "Dickeya_dadantii..3937Dd"         "GEN515" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN515" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN515" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN516" 
 "Dickeya_dadantii..3937Dd"         "GEN516" 
 "Cedecea_neteri..ND14bCn"          "GEN519" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN519" 
 "Dickeya_solani..RNS070773BDs"     "GEN519" 
 "Dickeya_solani..RNS050512ADs"     "GEN519" 
 "Dickeya_solani..M005Ds"           "GEN519" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN520" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN521" 
 "Dickeya_zeae..Ech586Dz"           "GEN522" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN523" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN523" 
 "Dickeya_aquatica..localstrainDa"  "GEN525" 
 "Dickeya_sp..NCPPB569Ds"           "GEN527" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN527" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN528" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN528" 
 "Dickeya_sp..NCPPB569Ds"           "GEN528" 
 "Serratia_sp..ATCC39006Ss"         "GEN528" 
 "Dickeya_zeae..MK19Dz"             "GEN529" 
 "Dickeya_sp..S1Ds"                 "GEN530" 
 "Dickeya_zeae..MK19Dz"             "GEN531" 
 "Dickeya_solani..RNS050512ADs"     "GEN532" 
 "Dickeya_zeae..MS1Dz"              "GEN532" 
 "Dickeya_solani..RNS050512ADs"     "GEN533" 
 "Dickeya_zeae..DZ2QDz"             "GEN533" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN534" 
 "Dickeya_dadantii..3937Dd"         "GEN534" 
 "Dickeya_solani..RNS050512ADs"     "GEN534" 
 "Dickeya_zeae..Ech586Dz"           "GEN535" 
 "Dickeya_dianthicola..RNS049Dd"    "GEN536" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN536" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN536" 
 "Dickeya_solani..M005Ds"           "GEN536" 
 "Dickeya_aquatica..localstrainDa"  "GEN537" 
 "Dickeya_solani..RNS050512ADs"     "GEN538" 
 "Dickeya_zeae..MK19Dz"             "GEN540" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN540" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN540" 
 "Dickeya_solani..RNS050512ADs"     "GEN541" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN542" 
 "Dickeya_zeae..MK19Dz"             "GEN542" 
 "Dickeya_zeae..MK19Dz"             "GEN543" 
 "Dickeya_zeae..DZ2QDz"             "GEN544" 
 "Dickeya_dadantii..3937Dd"         "GEN547" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN548" 
 "Dickeya_chrysanthem..L11Dc"       "GEN548" 
 "Dickeya_solani..RNS050512ADs"     "GEN549" 
 "Dickeya_dadantii..3937Dd"         "GEN550" 
 "Dickeya_solani..RNS050512ADs"     "GEN550" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN550" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN551" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN552" 
 "Dickeya_solani..RNS08082331ADs"   "GEN553" 
 "Dickeya_solani..RNS070773BDs"     "GEN553" 
 "Dickeya_sp..CSLRW240Ds"           "GEN553" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN554" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN554" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN554" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN555" 
 "Dickeya_zeae..DZ2QDz"             "GEN556" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN556" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN558" 
 "Dickeya_aquatica..DW0440Da"       "GEN559" 
 "Dickeya_sp..S1Ds"                 "GEN559" 
 "Dickeya_zeae..Ech586Dz"           "GEN560" 
 "Dickeya_sp..2B12Ds"               "GEN561" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN562" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN563" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN563" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN563" 
 "Dickeya_zeae..DZ2QDz"             "GEN564" 
 "Dickeya_zeae..MS1Dz"              "GEN564" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN565" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN566" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN567" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN567" 
 "Dickeya_solani..RNS050512ADs"     "GEN568" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN568" 
 "Dickeya_zeae..DZ2QDz"             "GEN568" 
 "Dickeya_zeae..MK19Dz"             "GEN569" 
 "Dickeya_solani..RNS050512ADs"     "GEN570" 
 "Dickeya_zeae..MS1Dz"              "GEN570" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN570" 
 "Dickeya_solani..RNS050512ADs"     "GEN571" 
 "Dickeya_zeae..MS1Dz"              "GEN571" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN571" 
 "Dickeya_solani..M005Ds"           "GEN571" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN571" 
 "Dickeya_dadantii..3937Dd"         "GEN574" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN574" 
 "Dickeya_solani..RNS070773BDs"     "GEN574" 
 "Dickeya_zeae..MK19Dz"             "GEN574" 
 "Dickeya_zeae..MS1Dz"              "GEN574" 
 "Dickeya_zeae..Ech586Dz"           "GEN574" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN576" 
 "Dickeya_solani..M005Ds"           "GEN576" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN576" 
 "Cedecea_neteri..ND14bCn"          "GEN578" 
 "Dickeya_dadantii..3937Dd"         "GEN579" 
 "Dickeya_sp..B16Ds"                "GEN580" 
 "Dickeya_solani..RNS050512ADs"     "GEN581" 
 "Dickeya_solani..RNS070773BDs"     "GEN582" 
 "Dickeya_solani..RNS050512ADs"     "GEN582" 
 "Dickeya_sp..B16Ds"                "GEN582" 
 "Dickeya_sp..MK7Ds"                "GEN582" 
 "Dickeya_solani..MK16Ds"           "GEN585" 
 "Dickeya_chrysanthem..M074Dc"      "GEN587" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN587" 
 "Dickeya_sp..MK7Ds"                "GEN587" 
 "Dickeya_zeae..MK19Dz"             "GEN588" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN589" 
 "Dickeya_dadantii..3937Dd"         "GEN590" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN590" 
 "Dickeya_solani..RNS050512ADs"     "GEN590" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN590" 
 "Dickeya_zeae..MS1Dz"              "GEN590" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN590" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN590" 
 "Dickeya_zeae..MK19Dz"             "GEN591" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN593" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN594" 
 "Dickeya_sp..NCPPB569Ds"           "GEN595" 
 "Dickeya_sp..B16Ds"                "GEN595" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN596" 
 "Dickeya_dadantii..3937Dd"         "GEN596" 
 "Dickeya_solani..RNS050512ADs"     "GEN596" 
 "Dickeya_zeae..DZ2QDz"             "GEN596" 
 "Dickeya_zeae..MK19Dz"             "GEN597" 
 "Dickeya_sp..NCPPB569Ds"           "GEN598" 
