$outgn
character(0)

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_dianthicola..IPO980Dd"    "GEN98"  
 "Dickeya_solani..IFB0099Ds"        "GEN98"  
 "Dickeya_zeae..MS1Dz"              "GEN98"  
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN98"  
 "Dickeya_zeae..NCPPB2538Dz"        "GEN101" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN104" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN104" 
 "Dickeya_solani..M005Ds"           "GEN105" 
 "Dickeya_solani..RNS08082331ADs"   "GEN106" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN108" 
 "Dickeya_solani..RNS070773BDs"     "GEN108" 
 "Dickeya_solani..RNS050512ADs"     "GEN108" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN108" 
 "Dickeya_sp..B16Ds"                "GEN108" 
 "Dickeya_zeae..MS1Dz"              "GEN109" 
 "Dickeya_dadantii..3937Dd"         "GEN110" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN110" 
 "Dickeya_solani..RNS070773BDs"     "GEN111" 
 "Dickeya_solani..IFB0099Ds"        "GEN112" 
 "Serratia_sp..ATCC39006Ss"         "GEN113" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN114" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN116" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN117" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN119" 
 "Dickeya_zeae..DZ2QDz"             "GEN121" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN122" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN123" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN125" 
 "Dickeya_zeae..DZ2QDz"             "GEN125" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN126" 
 "Dickeya_dadantii..3937Dd"         "GEN127" 
 "Dickeya_zeae..MS1Dz"              "GEN127" 
 "Dickeya_dadantii..3937Dd"         "GEN130" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN132" 
 "Dickeya_aquatica..DW0440Da"       "GEN133" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN134" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN135" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN135" 
 "Dickeya_solani..M005Ds"           "GEN136" 
 "Dickeya_zeae..DZ2QDz"             "GEN137" 
 "Dickeya_chrysanthem..L11Dc"       "GEN138" 
